BEGIN
CREATE TABLE
INSERT 0 187
 rk  |              team              | year |  str  | park  |  ofs  |  dfs  |  sos  
  34 | Doane (Neb.)                   | 2015 | 1.553 | 0.899 | 1.482 | 0.954 | 0.980
  35 | South Carolina Beaufort        | 2015 | 1.552 | 1.138 | 1.364 | 0.879 | 1.094
  36 | Madonna (Mich.)                | 2015 | 1.549 | 1.009 | 1.014 | 0.655 | 1.066
  37 | Peru State (Neb.)              | 2015 | 1.512 | 1.051 | 1.206 | 0.798 | 0.983
  38 | Lyon (Ark.)                    | 2015 | 1.503 | 0.950 | 1.267 | 0.843 | 1.052
  39 | Reinhardt (Ga.)                | 2015 | 1.463 | 0.950 | 1.199 | 0.820 | 1.096
  40 | Mount Vernon Nazarene (Ohio)   | 2015 | 1.462 | 1.003 | 1.142 | 0.781 | 0.968
  41 | York (Neb.)                    | 2015 | 1.447 | 0.974 | 1.190 | 0.823 | 1.100
  42 | Science &amp; Arts (Okla.)     | 2015 | 1.435 | 0.964 | 0.966 | 0.673 | 0.985
  43 | Corban (Ore.)                  | 2015 | 1.428 | 0.860 | 1.256 | 0.880 | 1.126
  44 | Grand View (Iowa)              | 2015 | 1.413 | 0.962 | 1.202 | 0.851 | 1.039
  45 | College of the Ozarks (Mo.)    | 2015 | 1.398 | 1.031 | 1.224 | 0.876 | 1.055
  46 | Union (Ky.)                    | 2015 | 1.394 | 1.057 | 1.355 | 0.972 | 1.096
  47 | Martin Methodist (Tenn.)       | 2015 | 1.387 | 1.018 | 1.258 | 0.907 | 1.095
  48 | Southeastern (Fla.)            | 2015 | 1.376 | 1.075 | 1.133 | 0.824 | 1.108
  49 | William Woods (Mo.)            | 2015 | 1.336 | 0.975 | 1.077 | 0.806 | 0.985
  50 | Judson (Ill.)                  | 2015 | 1.334 | 0.988 | 1.104 | 0.828 | 0.963
  51 | College of Idaho               | 2015 | 1.328 | 0.988 | 1.218 | 0.917 | 1.085
  52 | William Carey (Miss.)          | 2015 | 1.326 | 0.862 | 1.236 | 0.933 | 1.110
  53 | Indiana Tech                   | 2015 | 1.325 | 1.022 | 1.255 | 0.948 | 1.032
  54 | MidAmerica Nazarene (Kan.)     | 2015 | 1.312 | 1.054 | 1.221 | 0.930 | 0.981
  55 | Concordia (Neb.)               | 2015 | 1.309 | 1.076 | 1.110 | 0.848 | 0.995
  56 | Kansas Wesleyan                | 2015 | 1.298 | 1.093 | 1.360 | 1.047 | 1.066
  57 | Taylor (Ind.)                  | 2015 | 1.290 | 1.038 | 1.073 | 0.832 | 0.979
  58 | Cumberland (Tenn.)             | 2015 | 1.286 | 0.952 | 1.113 | 0.865 | 1.149
  59 | Huntington (Ind.)              | 2015 | 1.282 | 0.924 | 1.020 | 0.796 | 0.953
  60 |                                | 2015 | 1.278 | 0.908 | 1.027 | 0.803 | 0.990
  61 | Spring Arbor (Mich.)           | 2015 | 1.221 | 1.036 | 0.851 | 0.697 | 0.965
  62 | Webber International (Fla.)    | 2015 | 1.214 | 0.923 | 1.251 | 1.030 | 1.074
  63 | Rio Grande (Ohio)              | 2015 | 1.211 | 0.842 | 1.159 | 0.956 | 0.999
  64 |                                | 2015 | 1.211 | 0.995 | 1.168 | 0.964 | 1.043
  65 | Belhaven (Miss.)               | 2015 | 1.211 | 0.882 | 1.420 | 1.173 | 1.031
  66 |                                | 2015 | 1.202 | 1.030 | 1.093 | 0.909 | 1.033
  67 | Friends (Kan.)                 | 2015 | 1.187 | 1.048 | 0.914 | 0.770 | 0.997
  68 | Jamestown (N.D.)               | 2015 | 1.185 | 1.014 | 1.081 | 0.912 | 0.928
  69 | Midland (Neb.)                 | 2015 | 1.182 | 0.978 | 1.028 | 0.870 | 1.050
  70 | Menlo (Calif.)                 | 2015 | 1.178 | 1.093 | 1.205 | 1.023 | 1.056
  71 | Missouri Valley                | 2015 | 1.138 | 1.127 | 1.110 | 0.976 | 0.961
  72 | Point (Ga.)                    | 2015 | 1.136 | 0.952 | 1.088 | 0.958 | 1.148
  73 | Holy Cross (Ind.)              | 2015 | 1.122 | 1.013 | 1.080 | 0.962 | 0.945
  74 | Cumberlands (Ky.)              | 2015 | 1.119 | 0.920 | 1.088 | 0.972 | 1.066
  75 | Morningside (Iowa)             | 2015 | 1.118 | 1.079 | 1.076 | 0.963 | 0.990
  76 | Bethel (Tenn.)                 | 2015 | 1.113 | 0.976 | 0.985 | 0.885 | 1.099
  77 | Milligan (Tenn.)               | 2015 | 1.105 | 0.926 | 1.023 | 0.926 | 1.083
  78 | Indiana Southeast              | 2015 | 1.101 | 1.074 | 0.950 | 0.863 | 0.953
  79 | Briar Cliff (Iowa)             | 2015 | 1.098 | 1.012 | 1.238 | 1.128 | 1.034
  80 | Mayville State (N.D.)          | 2015 | 1.095 | 0.893 | 1.127 | 1.030 | 0.925
  81 | St. Francis (Ill.)             | 2015 | 1.090 | 0.939 | 1.089 | 1.000 | 0.984
  82 | Texas Wesleyan                 | 2015 | 1.081 | 0.841 | 1.151 | 1.065 | 1.064
  83 | Saint Mary (Kan.)              | 2015 | 1.077 | 1.081 | 1.008 | 0.936 | 1.005
  84 | Thomas (Ga.)                   | 2015 | 1.077 | 1.024 | 1.155 | 1.072 | 1.084
  85 | Central Baptist (Ark.)         | 2015 | 1.068 | 0.982 | 0.972 | 0.910 | 1.036
  86 | Hastings (Neb.)                | 2015 | 1.058 | 0.864 | 1.052 | 0.994 | 1.065
  87 | Houston-Victoria (Texas)       | 2015 | 1.058 | 0.981 | 0.966 | 0.913 | 0.908
  88 | West Virginia Tech             | 2015 | 1.052 | 0.947 | 0.840 | 0.799 | 1.005
  89 | Talladega (Ala.)               | 2015 | 1.051 | 1.019 | 1.154 | 1.099 | 1.049
  90 | Bethany (Kan.)                 | 2015 | 1.036 | 0.942 | 0.947 | 0.915 | 1.066
  91 | Biola (Calif.)                 | 2015 | 1.034 | 1.039 | 1.136 | 1.100 | 1.133
  92 |                                | 2015 | 1.033 | 0.886 | 1.038 | 1.004 | 1.046
  93 | Georgetown (Ky.)               | 2015 | 1.029 | 0.912 | 1.085 | 1.054 | 1.111
  94 | Wayland Baptist (Texas)        | 2015 | 1.029 | 1.117 | 1.217 | 1.183 | 1.045
  95 | William Penn (Iowa)            | 2015 | 1.012 | 0.891 | 0.823 | 0.814 | 0.957
  96 | Edward Waters (Fla.)           | 2015 | 1.001 | 1.077 | 0.916 | 0.915 | 0.837
  97 | Mount Marty (S.D.)             | 2015 | 1.000 | 0.971 | 0.957 | 0.957 | 0.930
  98 | Northwestern (Iowa)            | 2015 | 0.984 | 0.982 | 1.309 | 1.330 | 1.063
  99 | Clarke (Iowa)                  | 2015 | 0.984 | 1.032 | 1.028 | 1.045 | 0.949
 100 |                                | 2015 | 0.983 | 1.024 | 0.878 | 0.894 | 1.062
 101 | St. Ambrose (Iowa)             | 2015 | 0.982 | 0.954 | 0.952 | 0.969 | 0.986
 102 | Dakota Wesleyan (S.D.)         | 2015 | 0.979 | 0.946 | 1.054 | 1.077 | 1.016
 103 | Ottawa (Kan.)                  | 2015 | 0.970 | 1.015 | 0.984 | 1.014 | 1.021
 104 | Fisher (Mass.)                 | 2015 | 0.955 | 0.971 | 1.065 | 1.115 | 1.054
 105 | Bacone (Okla.)                 | 2015 | 0.954 | 1.026 | 1.097 | 1.150 | 1.079
 106 | Central Methodist (Mo.)        | 2015 | 0.941 | 1.088 | 0.943 | 1.003 | 0.942
 107 | Bluefield (Va.)                | 2015 | 0.940 | 1.029 | 0.962 | 1.023 | 1.078
 108 | Ashford (Iowa)                 | 2015 | 0.939 | 1.021 | 0.891 | 0.949 | 0.966
 109 | Olivet Nazarene (Ill.)         | 2015 | 0.935 | 1.077 | 0.983 | 1.052 | 0.939
 110 |                                | 2015 | 0.930 | 0.951 | 0.879 | 0.945 | 0.929
 111 | Benedictine-Springfield (Ill.) | 2015 | 0.927 | 0.974 | 0.987 | 1.064 | 1.040
 112 | Brewton-Parker (Ga.)           | 2015 | 0.926 | 1.019 | 0.940 | 1.016 | 1.156
 113 | Avila (Mo.)                    | 2015 | 0.918 | 0.913 | 1.021 | 1.112 | 0.998
 114 | Robert Morris (Ill.)           | 2015 | 0.914 | 0.913 | 0.894 | 0.978 | 0.909
 115 | Blue Mountain (Miss.)          | 2015 | 0.905 | 0.896 | 1.063 | 1.175 | 1.129
 116 | Mount Mercy (Iowa)             | 2015 | 0.901 | 0.993 | 0.871 | 0.967 | 1.037
 117 | San Diego Christian (Calif.)   | 2015 | 0.897 | 1.100 | 0.936 | 1.043 | 1.166
 118 |                                | 2015 | 0.896 | 0.999 | 1.047 | 1.168 | 1.122
 119 | Ave Maria (Fla.)               | 2015 | 0.867 | 1.127 | 0.919 | 1.060 | 1.059
 120 | Rochester (Mich.)              | 2015 | 0.866 | 1.088 | 0.968 | 1.118 | 0.952
 121 |                                | 2015 | 0.862 | 1.043 | 1.080 | 1.253 | 0.954
 122 | Trinity Christian (Ill.)       | 2015 | 0.861 | 0.997 | 0.987 | 1.147 | 0.886
 123 | Oregon Tech                    | 2015 | 0.858 | 1.170 | 1.077 | 1.255 | 1.054
 124 | Roosevelt (Ill.)               | 2015 | 0.850 | 0.973 | 0.849 | 0.999 | 0.954
 125 | Valley City State (N.D.)       | 2015 | 0.841 | 0.923 | 1.090 | 1.296 | 0.923
 126 | Arizona Christian              | 2015 | 0.840 | 0.951 | 0.906 | 1.078 | 1.147
 127 | Shawnee State (Ohio)           | 2015 | 0.826 | 1.058 | 0.831 | 1.007 | 1.097
 128 | Warner (Fla.)                  | 2015 | 0.822 | 0.964 | 1.067 | 1.297 | 1.104
 129 |                                | 2015 | 0.821 | 1.052 | 0.750 | 0.913 | 1.023
 130 | Truett-McConnell (Ga.)         | 2015 | 0.820 | 0.947 | 0.765 | 0.932 | 1.119
 131 | Marian (Ind.)                  | 2015 | 0.818 | 0.959 | 0.872 | 1.066 | 0.944
 132 | Purdue North Central (Ind.)    | 2015 | 0.810 | 0.965 | 0.851 | 1.050 | 0.979
 133 | Aquinas (Mich.)                | 2015 | 0.801 | 0.963 | 0.918 | 1.146 | 1.041
 134 | Loyola (La.)                   | 2015 | 0.795 | 0.946 | 0.858 | 1.079 | 1.110
 135 | Evangel (Mo.)                  | 2015 | 0.793 | 1.071 | 0.873 | 1.102 | 0.914
 136 | Dordt (Iowa)                   | 2015 | 0.792 | 0.961 | 1.050 | 1.326 | 0.965
 137 | Saint Xavier (Ill.)            | 2015 | 0.791 | 1.063 | 0.980 | 1.239 | 0.942
 138 | Concordia (Mich.)              | 2015 | 0.786 | 1.113 | 0.843 | 1.072 | 1.010
 139 | Indiana Wesleyan               | 2015 | 0.758 | 0.925 | 0.789 | 1.041 | 0.942
 140 | Southwest (N.M.)               | 2015 | 0.756 | 1.052 | 0.759 | 1.004 | 0.998
 141 | Siena Heights (Mich.)          | 2015 | 0.755 | 1.004 | 0.876 | 1.160 | 1.030
 142 |                                | 2015 | 0.747 | 0.999 | 0.848 | 1.134 | 0.934
 143 | Brescia (Ky.)                  | 2015 | 0.745 | 0.999 | 0.898 | 1.205 | 1.061
 144 | Benedictine (Kan.)             | 2015 | 0.737 | 1.016 | 0.838 | 1.137 | 1.044
 145 | Graceland (Iowa)               | 2015 | 0.733 | 1.144 | 0.788 | 1.075 | 0.968
 146 | Williams Baptist (Ark.)        | 2015 | 0.717 | 1.009 | 0.855 | 1.193 | 1.034
 147 | Florida Memorial               | 2015 | 0.706 | 1.045 | 0.899 | 1.274 | 1.110
 148 | Wiley (Texas)                  | 2015 | 0.704 | 1.058 | 0.902 | 1.281 | 0.898
 149 | Bethel (Ind.)                  | 2015 | 0.697 | 1.006 | 0.762 | 1.092 | 0.983
 150 | Dakota State (S.D.)            | 2015 | 0.694 | 1.139 | 0.780 | 1.123 | 0.973
 151 | Mid-America Christian (Okla.)  | 2015 | 0.690 | 0.953 | 0.853 | 1.236 | 1.005
 152 | Viterbo (Wis.)                 | 2015 | 0.687 | 0.918 | 0.743 | 1.081 | 1.073
 153 | Culver-Stockton (Mo.)          | 2015 | 0.676 | 0.957 | 0.838 | 1.240 | 1.052
 154 |                                | 2015 | 0.662 | 1.048 | 0.894 | 1.349 | 1.143
 155 | Dickinson State (N.D.)         | 2015 | 0.660 | 0.995 | 0.865 | 1.311 | 0.960
 156 | Harris-Stowe State (Mo.)       | 2015 | 0.659 | 1.025 | 0.932 | 1.414 | 1.007
 157 | Pikeville (Ky.)                | 2015 | 0.655 | 0.977 | 0.845 | 1.290 | 1.055
 158 | Park (Mo.)                     | 2015 | 0.648 | 0.993 | 0.900 | 1.389 | 1.019
 159 | Saint Francis (Ind.)           | 2015 | 0.637 | 0.858 | 0.810 | 1.273 | 0.977
 160 | Nebraska Wesleyan              | 2015 | 0.633 | 1.036 | 0.807 | 1.274 | 1.028
 161 | Cardinal Stritch (Wis.)        | 2015 | 0.633 | 1.024 | 0.695 | 1.099 | 0.929
 162 | Hannibal-LaGrange (Mo.)        | 2015 | 0.622 | 1.011 | 0.829 | 1.331 | 0.992
 163 | Baker (Kan.)                   | 2015 | 0.580 | 0.913 | 0.682 | 1.175 | 0.984
 164 | Calumet (Ind.)                 | 2015 | 0.570 | 1.032 | 0.803 | 1.408 | 0.970
 165 | Lourdes (Ohio)                 | 2015 | 0.567 | 0.986 | 0.639 | 1.127 | 1.028
 166 | Waldorf (Iowa)                 | 2015 | 0.563 | 1.038 | 0.742 | 1.318 | 1.073
 167 | Montreat (N.C.)                | 2015 | 0.551 | 1.090 | 0.634 | 1.152 | 1.038
 168 | St. Gregory’s (Okla.)          | 2015 | 0.548 | 1.135 | 0.707 | 1.290 | 1.031
 169 |                                | 2015 | 0.542 | 1.058 | 0.768 | 1.418 | 0.958
 170 | Asbury (Ky.)                   | 2015 | 0.539 | 1.114 | 0.750 | 1.391 | 1.025
 171 | Simpson (Calif.)               | 2015 | 0.539 | 1.089 | 0.701 | 1.301 | 1.052
 172 | Huston-Tillotson (Texas)       | 2015 | 0.527 | 0.989 | 0.757 | 1.436 | 0.974
 173 | Alice Lloyd (Ky.)              | 2015 | 0.519 | 0.958 | 0.786 | 1.513 | 0.985
 174 | Grace (Ind.)                   | 2015 | 0.489 | 1.078 | 0.647 | 1.321 | 0.966
 175 | Trinity International (Ill.)   | 2015 | 0.480 | 1.043 | 0.820 | 1.706 | 0.938
 176 | Goshen (Ind.)                  | 2015 | 0.476 | 1.006 | 0.703 | 1.476 | 0.936
 177 | McPherson (Kan.)               | 2015 | 0.471 | 1.196 | 0.768 | 1.631 | 1.052
 178 | Central Christian (Kan.)       | 2015 | 0.461 | 1.081 | 0.636 | 1.379 | 1.049
 179 | Tougaloo (Miss.)               | 2015 | 0.438 | 0.953 | 0.630 | 1.437 | 1.021
 180 | La Sierra (Calif.)             | 2015 | 0.411 | 1.107 | 0.600 | 1.461 | 1.034
 181 | Texas College                  | 2015 | 0.394 | 1.061 | 0.625 | 1.587 | 1.012
 182 |                                | 2015 | 0.374 |       | 0.547 | 1.464 | 0.899
 183 | SAGU (Texas)                   | 2015 | 0.358 | 1.092 | 0.492 | 1.376 | 0.959
 184 |                                | 2015 | 0.358 | 0.968 | 0.531 | 1.485 | 0.989
 185 | Voorhees College               | 2015 | 0.311 | 1.125 | 0.611 | 1.964 | 0.758
 186 |                                | 2015 | 0.308 | 0.969 | 0.528 | 1.714 | 1.046
 187 | Morris (S.C.)                  | 2015 | 0.114 | 1.036 | 0.321 | 2.821 | 0.775
(187 rows)

COMMIT
